Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Габелко,Миколай,Йосипович,male,1990-08-03,Конструктор,село Червоносів,"вулиця Дунаєвського 2-й, буд. 2 кв. 31, Скалат, 21180",+380 12 628 79 77,zkalchenko@example.com
Абрагамовська,Віолетта,Теодорівна,female,1984-02-10,Сценарист,хутір Сарни,"площа Місячна, буд. 38, Довжанськ, 88775",033 029 22 72,hryhoriihavryliuk@example.net
Пилипенко,Стефан,Орхипович,male,1981-10-06,Кінолог,селище Хрустальний,"провулок Пересипська 6-та, буд. 80, Радивилів, 51194",141 35 81,chornovilvolodymyra@example.net
Талан,Василина,Степанівна,female,2001-11-25,Сценарист,хутір Біляївка,"сквер Магнітогорський 2-й, буд. 5 кв. 0, Іршава, 38743",+380 (86) 676-68-04,shyloandrii@example.org
Бевзенко,Болеслав,Кирилович,male,1949-11-19,Дипломат,селище Деражня,"парк Катерининська, буд. 734 кв. 13, Дружківка, 81989",+380 (61) 382-40-20,ndrobiazko@example.net
Саєнко,Тереза,Богданівна,female,1950-01-12,Бібліотекар,селище Тернівка ,"узвіз Водний, буд. 01 кв. 68, Хмельницький, 65436",533 76 00,babiukokhrim@example.com
Затула,Амалія,Захарівна,female,1950-01-18,Гірничий інженер,село Полонне,"сквер Чернишевського, буд. 72 кв. 29, Новоград-Волинський, 80879",+380 (70) 865-54-98,arkadiiandriishyn@example.com
Петлюра,Еріка,Орхипівна,female,1943-10-27,Фотограф,селище Трускавець,"площа Балтський 5-й, буд. 517 кв. 407, Інкерман, 01882",+380 79 288-92-45,tkolisnychenko@example.com
Гавриш,Пилип,Микитович,male,1989-11-26,Штукатур,село Кривий Ріг,"провулок Морський 2-й, буд. 5, Буринь, 17462",111-53-30,feofanchornovil@example.com
Василенко,Семен,Теодорович,male,1972-03-02,Електрик,село Шаргород,"набережна Селекційний, буд. 978 кв. 150, Корець, 44670",+380 04 989-05-54,okseniia08@example.com
Ткаченко,Оксана,Володимирівна,female,1987-02-24,Мінералог,хутір Українка ,"узвіз Чернігівська, буд. 56, Олександрія, 44306",070 697-69-38,drozdieva@example.com
Бабій,Ліза,Данилівна,female,1957-04-08,Співак,село Бунге ,"шосе Анни Ахматової, буд. 40 кв. 18, Суходільськ, 24094",+380 33 963 64 60,ielysaveta31@example.com
Рубан,Йосип,Пилипович,male,1986-08-30,Хімік,місто Чистякове,"шосе Нечипуренка, буд. 1, Збараж, 73361",+380 53 264-75-20,valenkosofiia@example.net
Щорс,Федір,Мартинович,male,1947-10-06,Клоун,хутір Єнакієве,"узвіз 1-й Академічний тупик, буд. 66, Кропивницький, 15740",+380 27 825 94 67,dannanazarenko@example.org
Артеменко,Василина,Васильівна,female,1986-08-03,Швачка,селище Роздільна,"сквер Нафтовиків, буд. 39 кв. 2, Лохвиця, 62050",+380 76 450-54-83,khudobiakorest@example.org
Іщак,Василина,Борисівна,female,1988-02-10,Публіцист,хутір Географія Вільнянська,"проспект Госпітальний, буд. 9, Канів, 97211",058 999-54-13,daryna69@example.com
Батіг,Богуслава,Антонівна,female,2002-11-25,Кінокритик,село Гадяч,"сквер Сільськогосподарський, буд. 8 кв. 59, Андрушівка, 87287",258 18 35,maksym64@example.net
Козаченко,Пріска,Валеріївна,female,1977-07-20,Дизайнер,селище Новий Буг,"вулиця Аеродромний 2-й, буд. 28 кв. 79, Заводське, 07429",+380 (11) 786-22-06,gvernyhora@example.com
Симоненко,Ілля,Зиновійович,male,2007-06-16,Піаніст,місто Первомайськ,"узвіз Гімназична, буд. 681 кв. 5, Амвросіївка, 51813",+380 (01) 999-21-41,smykherman@example.net
Шелест,Микита,Хомович,male,1977-10-23,Слідчий,місто Ватутіне,"шосе Східчастий, буд. 14 кв. 91, Конотоп, 32746",972 29 00,marynazhadan@example.com
Тихий,Георгій,Глібович,male,2001-01-19,Локсмайстер,хутір Снігурівка,"площа Кустанайська, буд. 739 кв. 728, Святогірськ, 33212",062 703 76 71,hennadii05@example.org
Дзиндра,Іван,Пилипович,male,1961-04-13,Євнух,селище Павлоград,"провулок Спартаківський, буд. 36 кв. 62, Герца, 43906",075 786-28-51,ustym12@example.net
Євдокименко,Едита,Святославівна,female,1954-10-31,Астрофізик,селище Красноград,"парк Толбухіна, буд. 6, Свалява, 53168",082 082 85 75,chernenkomilena@example.net
Михалюк,Лесь,Андрійович,male,1983-01-14,Провізор,селище Тиврів,"проспект Восьмого березня узвіз, буд. 6, Красилів, 25544",+380 77 394-53-06,bohdannazakusylo@example.net
Бандурка,Стефан,Пилипович,male,1948-12-02,Живописець,хутір Верхньодніпровськ,"сквер 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 492 кв. 2, Соснівка , 80705",+380 76 726 52 08,sviatoslavaostapchuk@example.com
Артимович,Пилип,Богодарович,male,1950-02-27,Локсмайстер,хутір Ізмаїл,"узвіз Братська, буд. 76, Ромни, 14983",248 70 85,holoborodkoorysia@example.org
Ірванець,Герман,Аврелійович,male,2008-01-12,Програміст,місто Вараш,"узвіз Святослава Ріхтера, буд. 63 кв. 042, Жовква, 34123",873 62 63,omelian65@example.com
Оберемко,Аліна,Григоріївна,female,1987-11-27,Музикознавець,селище Калуш,"провулок 6-та Суворовська, буд. 38 кв. 8, Севастополь, 81631",+380 75 671-39-25,spas94@example.org
Єфименко,Оксана,Семенівна,female,2007-02-11,Акушер,місто Тараща,"сквер Лиманчик 2-й Лінія 8-ма, буд. 17, Сколе, 07047",773 08 92,jderiazhna@example.org
Піддубна,Надія,Устимівна,female,1980-05-07,Зоолог,село Вилкове,"шосе Воронцовський, буд. 90 кв. 1, Калинівка , 84361",035 511 18 54,yieshchenko@example.org
Перебийніс,Анжела,Адамівна,female,1979-11-24,Письменник,хутір Луганськ,"шосе Планетна, буд. 093, Мала Виска, 16641",+380 (33) 421-46-88,panteleimonbaida@example.org
Авраменко,Єлисавета,Станіславівна,female,1981-09-08,Геолог,хутір Курахове,"набережна Кибальчича, буд. 92, Вознесенськ, 34715",+380 22 327-20-11,zzabarna@example.net
Забара,Варфоломій,Григорійович,male,2006-03-05,Реставратор,хутір Решетилівка,"набережна Місячна, буд. 9 кв. 04, Жовква, 91783",051 68 52,dsmyk@example.org
Голобородько,Варвара,Данилівна,female,1965-04-21,Стропальник,село Красногорівка,"шосе Учнівська, буд. 62, Ватутіне, 02853",129-75-73,gtalan@example.com
Жаліло,Марко,Семенович,male,1959-09-28,Ґрунтознавець,місто Щастя ,"провулок Амурський 4-й, буд. 3 кв. 4, Новий Розділ, 95977",591-60-40,roman74@example.net
Василевич,Єва,Богодарівна,female,1965-09-09,Петрограф,хутір Сколе,"проспект Локальна, буд. 495, Броди, 81762",+380 81 272-17-35,bbarabash@example.com
Адаменко,Арсен,Теодорович,male,1941-07-18,Піаніст,хутір Миколаївка ,"шосе Сурикова, буд. 5 кв. 4, Шахтарськ, 93046",+380 77 487 62 00,mykolai61@example.org
Каденюк,Оксенія,Аврелійовна,female,1980-01-25,Фізик,село Дебальцеве,"шосе Наявний 2-й, буд. 660 кв. 22, Кадіївка, 92471",600-71-12,solomiiavasylashko@example.com
Хорішко,Аліна,Азарівна,female,2005-03-26,Хореограф,місто Чорноморськ,"набережна Горбиста, буд. 51 кв. 1, Ясинувата, 03678",599-41-92,lkorolenko@example.net
Шаповал,Ганна,Юстимівна,female,1967-01-05,Золотар,селище Нововолинськ,"провулок Садовського, буд. 45, Борислав, 60086",+380 93 998-93-46,iaremataran@example.com
